query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,249,Carol,244,False,mapclosures_no_pose,megaloc,7.137972914744288,True,7,5,,
Alpha,250,Bob,255,True,accepted,megaloc+mapclosures,6.492001175127161,True,6,6,0.34028130534169526,0.7075552509850951
Alpha,251,Bob,254,True,accepted,megaloc,8.629058286323055,True,14,11,0.3318954573116973,0.6574373307712464
Alpha,252,Carol,249,True,accepted,megaloc,5.115313033427413,True,22,13,0.3392813885246908,0.6873167155425219
Alpha,253,Carol,251,True,accepted,megaloc+mapclosures,4.078790500735653,True,7,7,0.3399533163072683,0.7009265858873842
Alpha,254,Bob,259,True,accepted,megaloc,6.504722779755332,True,26,16,0.33162884387790653,0.702503182011031
Alpha,255,Carol,249,True,accepted,megaloc,8.172873166437459,True,16,9,0.33948156660230044,0.6519794721407625
Alpha,256,Carol,254,True,accepted,megaloc+mapclosures,3.735197094811399,True,8,8,0.347063374486188,0.667627152717282
Alpha,257,Bob,263,True,accepted,megaloc,4.968326524742751,True,19,17,0.3472277735925435,0.7602122015915119
Alpha,259,Bob,265,True,accepted,megaloc+mapclosures,4.925226372934258,True,10,8,0.3245470199786461,0.7656689690457917
Alpha,259,Carol,257,True,accepted,megaloc+mapclosures,3.3799539294095124,True,8,7,0.3434038746761566,0.6773344136115049
Alpha,260,Carol,258,True,accepted,mapclosures,3.4077409827424354,True,11,7,0.3398344174192856,0.698240675580577
Alpha,261,Bob,267,True,accepted,megaloc,4.929486870287488,True,24,20,0.34346108121532737,0.756026841189628
Alpha,262,Bob,266,True,accepted,mapclosures,6.997019524082862,True,9,6,0.3426375620693787,0.7066129032258065
Alpha,264,Bob,270,True,accepted,megaloc+mapclosures,4.916724379163381,True,7,6,0.34068162800102636,0.7495280050346129
Alpha,264,Carol,262,True,accepted,mapclosures,3.4495577582003785,True,8,8,0.325500905402112,0.7270489969423521
Alpha,265,Bob,270,True,accepted,mapclosures,5.947656714018858,True,6,6,0.33871165877651804,0.722465143140005
Alpha,267,Bob,273,True,accepted,megaloc,5.04307376477774,True,27,17,0.333628518431955,0.7446043165467626
Alpha,268,Carol,266,True,accepted,mapclosures,3.6365796604417935,True,8,7,0.3280351194340019,0.7094159368893392
Alpha,270,Bob,276,True,accepted,mapclosures,5.180310833748203,True,10,8,0.33705681651166075,0.7396506341229959
Alpha,270,Bob,275,True,accepted,megaloc,6.221245585166054,True,28,20,0.34765692362129774,0.7240169099465582
Alpha,271,Carol,269,True,accepted,mapclosures,3.7343940096766546,True,11,10,0.34515219899900157,0.6732754495111779
Alpha,273,Bob,279,True,accepted,megaloc+mapclosures,5.227272349893339,True,6,6,0.3389442966798648,0.7346724749919329
Alpha,274,Carol,271,True,accepted,megaloc,4.784851482079206,True,20,15,0.3468496090622771,0.6431372549019608
Alpha,275,Carol,272,True,accepted,megaloc+mapclosures,4.811327675797565,True,8,8,0.34856588128234084,0.6342595800706812
Alpha,276,Bob,279,False,high_rmse,mapclosures,8.414182564598525,True,11,9,0.35028329178612194,0.6388801012337868
Alpha,276,Bob,282,True,accepted,megaloc,5.320078741953401,True,24,19,0.3485277442099086,0.6897342613097122
Alpha,279,Bob,285,True,accepted,mapclosures,5.2173413626225695,True,7,6,0.3447954243026539,0.6568833457601844
Alpha,282,Carol,277,False,high_rmse,mapclosures,6.354501585525468,True,7,6,0.3785729724213922,0.5817477689846775
Alpha,287,Bob,290,False,high_rmse,mapclosures,,,6,6,0.3809347454911504,0.6103342428376535
Alpha,291,Bob,293,False,high_rmse,mapclosures,,,7,7,0.38461685717207905,0.6206896551724138
Alpha,293,Carol,285,False,high_rmse,mapclosures,,,6,6,0.3858112574823339,0.5568798172994576
Alpha,295,Carol,287,False,high_rmse,megaloc,,,25,23,0.3617771976670248,0.5780705153041457
Alpha,296,Bob,300,False,high_rmse,megaloc,,,17,14,0.3596832133899551,0.5905456803539548
Alpha,298,Carol,289,False,high_rmse,megaloc,,,18,11,0.3602280578313567,0.5736650391381849
Alpha,299,Bob,303,False,high_rmse,megaloc,,,12,11,0.35799822255673325,0.5929434825220516
Alpha,303,Bob,307,False,high_rmse,megaloc,,,23,16,0.3550319837382522,0.61854923114081
